user_id,product_id
189,50
137,29
153,59
102,110
106,116
132,48
116,78
185,82
179,85
177,146
129,81
119,62
117,3
168,93
116,19
102,46
106,52
102,142
159,118
124,63
184,94
148,113
173,8
105,101
172,62
143,34
147,60
135,66
193,14
134,25
100,122
197,81
126,13
164,79
108,93
183,14
195,109
103,54
194,74
112,77
112,129
153,34
147,97
116,55
110,93
131,106
153,22
157,61
198,12
160,19
117,118
171,76
110,22
104,54
116,112
104,134
109,107
174,6
151,66
191,42
138,49
157,65
116,67
124,69
103,122
101,67
175,43
163,26
170,120
159,84
106,85
198,76
142,13
153,18
145,88
183,127
145,110
115,26
189,71
164,101
105,75
161,94
127,28
168,110
177,29
117,103
129,136
149,34
176,43
182,81
112,113
121,44
155,42
108,5
174,6
163,77
153,149
102,97
119,110
153,130
151,88
191,44
111,122
173,63
105,97
141,64
105,82
140,36
168,87
104,99
137,73
162,103
142,90
133,96
177,21
137,54
106,72
198,60
131,60
117,76
196,4
174,85
151,91
127,1
116,146
173,32
100,111
197,26
124,50
166,7
172,122
136,107
175,122
163,1
135,13
171,140
121,125
130,111
120,46
110,90
134,22
111,36
141,124
162,104
168,112
154,31
176,3
156,100
163,82
192,77
184,60
105,5
159,116
142,24
169,53
172,150
168,65
187,143
165,126
137,125
180,10
132,104
177,124
147,112
128,61
159,29
133,83
172,50
173,41
177,102
104,134
178,10
113,100
196,79
193,23
131,46
194,57
185,24
123,38
130,42
143,59
139,94
127,105
116,103
111,57
191,131
164,23
124,91
123,35
163,90
155,54
187,140
192,118
186,46
111,103
156,122
192,59
198,67
171,96
193,57
148,62
153,90
104,77
110,25
133,100
185,46
103,135
151,96
164,134
162,44
126,54
178,32
119,98
145,72
171,15
150,60
135,71
147,90
121,127
160,14
131,43
178,13
197,149
160,79
175,3
118,39
172,37
132,99
139,5
136,29
106,75
155,72
113,26
127,100
115,121
117,70
104,133
172,34
158,74
119,63
191,57
120,15
155,123
180,129
108,146
137,68
183,88
105,83
179,107
186,50
