user_id,product_id,rating
123,36,2
141,52,2
183,96,3
177,148,4
184,67,1
142,46,3
168,7,5
134,23,2
104,40,4
106,98,1
142,89,4
176,41,5
164,104,1
130,37,5
158,3,5
191,73,5
186,7,1
112,39,4
187,116,5
139,123,2
115,43,3
109,132,3
199,25,3
137,26,5
140,149,3
150,115,3
176,27,4
133,22,1
175,106,5
127,106,1
132,58,5
195,112,5
172,85,4
138,104,4
114,97,5
196,36,4
123,148,2
159,68,3
171,110,1
141,24,2
167,94,1
175,125,1
191,95,3
115,70,5
152,56,5
184,81,3
117,68,4
109,66,5
130,87,1
124,118,4
113,34,2
101,147,4
165,94,1
145,57,4
134,33,2
106,47,2
121,49,1
184,40,4
103,134,5
142,145,5
171,132,4
190,82,1
171,58,4
178,52,2
144,105,1
150,48,4
164,8,4
118,149,5
192,15,4
145,54,1
196,137,3
152,33,5
166,132,4
105,114,5
194,102,5
151,58,1
154,36,5
118,57,1
156,129,3
199,1,4
172,125,5
121,49,3
125,141,3
164,11,2
153,47,4
188,51,4
198,54,1
163,126,3
167,121,5
114,109,2
116,16,5
195,75,3
161,86,2
178,134,3
125,70,3
129,51,3
104,117,1
165,5,5
192,87,2
179,81,4
117,17,2
169,22,4
111,124,5
158,141,5
194,3,4
190,71,4
108,73,5
194,140,1
186,114,4
136,74,4
170,62,5
146,14,1
115,145,4
136,31,3
155,76,5
188,84,3
100,89,1
101,39,2
106,52,4
192,8,4
189,121,1
155,60,1
100,27,5
173,114,1
143,73,2
152,21,5
167,132,2
189,27,5
142,130,2
102,71,4
194,11,1
112,63,5
119,10,4
100,27,1
119,89,5
197,80,1
113,66,1
146,108,2
135,4,1
184,18,5
135,15,3
198,129,3
103,28,2
146,54,5
147,144,1
183,12,1
183,135,2
151,70,3
166,149,1
184,13,3
180,13,1
112,103,3
108,99,3
189,39,2
106,29,4
163,68,3
154,143,2
171,67,3
167,36,1
152,11,1
195,72,4
146,37,2
129,22,4
186,105,2
115,119,5
152,137,1
165,39,3
151,27,5
178,3,3
170,12,3
174,65,4
196,58,1
193,77,1
135,10,1
133,143,5
194,84,2
156,40,1
146,134,5
183,44,1
186,80,4
168,14,3
182,4,2
100,109,1
112,110,2
184,144,1
119,93,3
157,110,3
178,117,5
143,107,3
157,55,5
157,138,2
114,120,2
112,65,5
149,56,1
161,143,5
111,90,5
147,143,2
106,3,4
166,33,4
100,116,5
114,63,4
192,109,2
190,98,1
139,35,2
196,47,4
116,67,2
144,15,3
129,2,4
121,74,2
119,27,3
133,142,1
118,30,3
185,41,1
116,137,4
143,115,2
103,45,1
175,133,2
196,114,5
110,103,4
112,67,5
156,39,4
161,118,4
199,32,1
141,51,4
177,136,4
163,72,1
112,50,1
151,143,3
153,73,2
122,65,4
100,146,5
174,15,1
179,113,3
138,106,2
120,94,3
185,48,2
119,108,4
125,15,2
139,42,3
125,62,4
130,122,4
109,43,3
174,54,1
127,69,3
136,130,2
147,5,2
123,92,4
174,14,4
117,43,3
144,113,5
117,120,5
145,14,4
127,115,3
131,11,2
144,140,1
104,108,4
197,147,2
129,117,2
121,91,1
150,124,2
107,30,4
106,20,2
154,111,3
148,1,2
132,20,5
176,113,5
161,126,2
158,15,1
143,59,3
121,114,4
199,36,1
129,30,3
198,48,5
146,131,5
120,121,2
172,80,5
101,14,1
118,93,4
115,20,3
103,44,5
