user_id,age,city,gender
100,42,Jaipur,Female
101,43,Mumbai,Female
102,31,Mumbai,Male
103,18,Patna,Female
104,42,Patna,Male
105,43,Delhi,Male
106,23,Delhi,Male
107,26,Jaipur,Female
108,30,Lucknow,Male
109,35,Jaipur,Male
110,33,Patna,Female
111,43,Delhi,Female
112,35,Jaipur,Female
113,24,Delhi,Female
114,37,Mumbai,Male
115,33,Mumbai,Female
116,30,Mumbai,Male
117,48,Jaipur,Female
118,25,Jaipur,Female
119,34,Delhi,Female
120,37,Patna,Male
121,18,Lucknow,Female
122,23,Lucknow,Female
123,37,Delhi,Male
124,29,Patna,Female
125,42,Mumbai,Female
126,30,Mumbai,Female
127,48,Jaipur,Female
128,24,Jaipur,Female
129,25,Mumbai,Female
130,38,Mumbai,Female
131,47,Lucknow,Male
132,28,Delhi,Male
133,29,Mumbai,Male
134,21,Lucknow,Male
135,28,Mumbai,Female
136,20,Mumbai,Male
137,24,Lucknow,Female
138,37,Lucknow,Female
139,45,Mumbai,Female
140,23,Patna,Female
141,32,Delhi,Female
142,37,Mumbai,Female
143,39,Jaipur,Male
144,30,Lucknow,Male
145,35,Lucknow,Male
146,33,Lucknow,Female
147,32,Jaipur,Male
148,37,Patna,Female
149,48,Patna,Male
150,31,Lucknow,Female
151,42,Lucknow,Female
152,30,Delhi,Male
153,32,Patna,Male
154,35,Lucknow,Male
155,38,Delhi,Male
156,36,Lucknow,Female
157,18,Delhi,Female
158,24,Jaipur,Male
159,39,Mumbai,Male
160,38,Patna,Male
161,46,Delhi,Male
162,41,Delhi,Female
163,38,Lucknow,Male
164,26,Mumbai,Female
165,24,Patna,Male
166,46,Jaipur,Female
167,41,Patna,Male
168,45,Delhi,Female
169,20,Lucknow,Male
170,49,Delhi,Male
171,21,Mumbai,Female
172,47,Patna,Male
173,27,Mumbai,Female
174,45,Lucknow,Male
175,40,Delhi,Female
176,18,Jaipur,Male
177,47,Delhi,Male
178,18,Patna,Female
179,19,Patna,Female
180,37,Jaipur,Female
181,36,Patna,Male
182,35,Patna,Male
183,40,Patna,Male
184,24,Lucknow,Female
185,22,Mumbai,Female
186,20,Patna,Male
187,42,Patna,Female
188,42,Jaipur,Male
189,41,Jaipur,Female
190,49,Delhi,Female
191,22,Jaipur,Male
192,49,Jaipur,Female
193,38,Jaipur,Female
194,38,Delhi,Male
195,28,Delhi,Male
196,35,Patna,Male
197,42,Lucknow,Female
198,28,Lucknow,Male
199,18,Patna,Male
