product_id,name,category,brand,price,rating
1,Apple Mobile 1,Mobile,Apple,31270,4.8
2,Apple Mobile 2,Mobile,Apple,45153,4.6
3,Apple Mobile 3,Mobile,Apple,26867,3.7
4,Apple Mobile 4,Mobile,Apple,9176,4.0
5,Apple Mobile 5,Mobile,Apple,17946,4.7
6,Apple Mobile 6,Mobile,Apple,11510,4.3
7,Apple Mobile 7,Mobile,Apple,1830,4.5
8,Apple Mobile 8,Mobile,Apple,6105,3.5
9,Apple Mobile 9,Mobile,Apple,40691,4.5
10,Apple Mobile 10,Mobile,Apple,49276,4.4
11,Samsung Mobile 1,Mobile,Samsung,12218,3.6
12,Samsung Mobile 2,Mobile,Samsung,3856,4.3
13,Samsung Mobile 3,Mobile,Samsung,23948,4.2
14,Samsung Mobile 4,Mobile,Samsung,18569,4.4
15,Samsung Mobile 5,Mobile,Samsung,49474,4.1
16,Samsung Mobile 6,Mobile,Samsung,14284,4.4
17,Samsung Mobile 7,Mobile,Samsung,27242,4.0
18,Samsung Mobile 8,Mobile,Samsung,23557,4.9
19,Samsung Mobile 9,Mobile,Samsung,38073,3.9
20,Samsung Mobile 10,Mobile,Samsung,28969,3.8
21,OnePlus Mobile 1,Mobile,OnePlus,44304,3.7
22,OnePlus Mobile 2,Mobile,OnePlus,5268,4.7
23,OnePlus Mobile 3,Mobile,OnePlus,13241,4.8
24,OnePlus Mobile 4,Mobile,OnePlus,7719,4.4
25,OnePlus Mobile 5,Mobile,OnePlus,9912,4.8
26,OnePlus Mobile 6,Mobile,OnePlus,49135,4.4
27,OnePlus Mobile 7,Mobile,OnePlus,17091,4.4
28,OnePlus Mobile 8,Mobile,OnePlus,41875,4.2
29,OnePlus Mobile 9,Mobile,OnePlus,41889,3.6
30,OnePlus Mobile 10,Mobile,OnePlus,44510,3.7
31,Dell Laptop 1,Laptop,Dell,11765,4.8
32,Dell Laptop 2,Laptop,Dell,11057,3.6
33,Dell Laptop 3,Laptop,Dell,46881,4.2
34,Dell Laptop 4,Laptop,Dell,20646,4.1
35,Dell Laptop 5,Laptop,Dell,3423,4.3
36,Dell Laptop 6,Laptop,Dell,20819,4.1
37,Dell Laptop 7,Laptop,Dell,45264,4.1
38,Dell Laptop 8,Laptop,Dell,3964,4.5
39,Dell Laptop 9,Laptop,Dell,21087,4.0
40,Dell Laptop 10,Laptop,Dell,18182,4.0
41,HP Laptop 1,Laptop,HP,21872,4.1
42,HP Laptop 2,Laptop,HP,15279,4.7
43,HP Laptop 3,Laptop,HP,19980,3.6
44,HP Laptop 4,Laptop,HP,30367,4.1
45,HP Laptop 5,Laptop,HP,32045,4.6
46,HP Laptop 6,Laptop,HP,23136,4.5
47,HP Laptop 7,Laptop,HP,5974,3.7
48,HP Laptop 8,Laptop,HP,24649,4.5
49,HP Laptop 9,Laptop,HP,2039,4.4
50,HP Laptop 10,Laptop,HP,34662,4.6
51,Lenovo Laptop 1,Laptop,Lenovo,34598,3.9
52,Lenovo Laptop 2,Laptop,Lenovo,46016,3.5
53,Lenovo Laptop 3,Laptop,Lenovo,49667,4.2
54,Lenovo Laptop 4,Laptop,Lenovo,45981,3.7
55,Lenovo Laptop 5,Laptop,Lenovo,49277,4.1
56,Lenovo Laptop 6,Laptop,Lenovo,9298,3.9
57,Lenovo Laptop 7,Laptop,Lenovo,38176,3.7
58,Lenovo Laptop 8,Laptop,Lenovo,47477,3.6
59,Lenovo Laptop 9,Laptop,Lenovo,22359,3.6
60,Lenovo Laptop 10,Laptop,Lenovo,32548,4.2
61,Nike Shoes 1,Shoes,Nike,16205,4.5
62,Nike Shoes 2,Shoes,Nike,6264,4.4
63,Nike Shoes 3,Shoes,Nike,8271,3.8
64,Nike Shoes 4,Shoes,Nike,15484,4.4
65,Nike Shoes 5,Shoes,Nike,19458,4.4
66,Nike Shoes 6,Shoes,Nike,13937,4.1
67,Nike Shoes 7,Shoes,Nike,43351,4.0
68,Nike Shoes 8,Shoes,Nike,38978,4.0
69,Nike Shoes 9,Shoes,Nike,5544,4.7
70,Nike Shoes 10,Shoes,Nike,14294,4.2
71,Adidas Shoes 1,Shoes,Adidas,44618,3.9
72,Adidas Shoes 2,Shoes,Adidas,23371,3.9
73,Adidas Shoes 3,Shoes,Adidas,10014,5.0
74,Adidas Shoes 4,Shoes,Adidas,34222,4.6
75,Adidas Shoes 5,Shoes,Adidas,43591,4.6
76,Adidas Shoes 6,Shoes,Adidas,24263,4.7
77,Adidas Shoes 7,Shoes,Adidas,42368,3.6
78,Adidas Shoes 8,Shoes,Adidas,20116,3.6
79,Adidas Shoes 9,Shoes,Adidas,26259,3.6
80,Adidas Shoes 10,Shoes,Adidas,25940,4.6
81,Puma Shoes 1,Shoes,Puma,39299,3.8
