user_id,product_id
181,25
119,3
108,37
178,41
103,29
167,114
174,17
167,103
156,65
128,134
165,16
140,38
146,111
187,134
164,137
192,72
170,16
198,9
167,96
110,13
163,127
102,133
137,17
175,67
166,40
174,8
184,13
129,14
177,98
178,97
159,106
136,69
150,104
128,8
197,43
115,46
184,35
123,72
188,53
181,62
124,122
115,73
189,30
193,127
177,27
104,59
113,41
131,120
149,113
196,80
161,138
112,40
128,69
184,12
180,42
138,58
105,91
190,108
155,5
188,6
128,124
172,59
178,148
106,53
139,46
172,4
127,142
175,135
122,11
102,74
194,126
136,99
134,22
167,33
117,88
115,53
150,75
113,95
198,148
199,100
146,22
189,65
104,147
109,138
163,29
167,57
151,119
108,37
196,134
159,85
141,5
198,78
187,126
131,145
177,92
157,38
165,135
150,47
121,13
166,111
166,142
122,90
110,85
190,89
147,78
142,65
162,102
159,70
194,120
167,26
146,150
168,78
199,116
124,124
168,84
110,79
173,27
197,89
181,104
195,44
180,18
120,90
133,141
118,121
123,10
120,11
109,96
197,100
186,36
106,72
170,100
110,42
193,74
167,33
125,14
162,96
165,22
167,61
173,10
131,49
144,101
108,142
117,124
180,68
114,110
143,119
197,30
136,39
126,64
105,60
132,19
106,106
166,10
175,141
107,31
184,51
195,57
151,9
148,98
159,15
110,13
113,15
156,67
183,133
128,121
106,99
195,114
160,64
184,120
184,112
143,142
117,143
140,11
163,142
186,114
183,58
184,47
173,44
169,98
157,43
192,21
196,109
124,16
191,35
167,3
185,112
139,70
173,135
188,111
104,67
121,76
128,76
197,39
183,21
102,21
168,7
138,36
174,130
142,138
152,139
180,114
128,86
182,28
197,41
112,111
180,85
185,138
184,87
190,144
186,44
139,150
122,149
143,136
182,129
198,130
176,103
173,106
137,7
171,74
120,45
161,57
140,77
121,108
105,61
176,3
183,112
178,135
100,90
137,25
185,85
136,46
198,143
188,100
160,129
128,131
133,87
165,3
145,70
128,101
109,120
159,108
188,18
176,83
177,134
169,95
183,36
179,87
173,120
100,55
159,15
182,75
169,111
141,130
137,120
142,94
136,37
113,128
107,44
186,145
156,21
137,18
171,76
102,48
152,4
162,22
195,120
137,121
186,54
106,6
113,94
133,87
151,27
185,2
183,13
120,90
166,100
155,110
142,75
128,47
197,90
170,40
170,108
144,52
152,129
180,70
185,34
118,138
187,73
139,114
161,121
132,123
112,103
158,40
178,3
163,143
187,57
194,98
149,91
196,126
115,22
