user_id,product_id
102,78
115,32
105,81
135,64
128,109
179,135
150,65
149,105
151,136
144,17
169,112
163,132
114,98
187,9
195,124
147,119
102,63
154,75
168,107
162,45
156,89
106,49
142,116
194,11
120,86
152,57
118,111
198,63
139,93
162,34
104,110
181,128
164,61
120,59
143,123
174,17
180,57
142,113
190,141
197,43
129,19
146,103
152,44
145,55
177,97
176,41
144,28
118,22
119,66
114,23
148,42
172,97
144,132
116,1
145,136
197,125
123,126
174,123
111,15
195,98
123,43
146,143
172,41
142,71
162,127
152,114
138,58
143,114
190,118
196,78
113,13
184,117
135,28
101,121
168,9
188,86
170,75
177,37
120,35
178,57
161,88
143,49
148,88
174,15
120,94
160,26
162,67
131,22
149,25
143,116
193,145
127,76
139,64
159,96
144,67
105,29
173,5
186,147
169,135
150,135
139,64
106,145
119,78
159,149
108,120
176,74
131,133
146,48
106,55
153,65
194,71
134,87
158,108
132,37
173,141
116,22
128,107
128,28
157,105
179,45
189,15
161,146
136,110
174,70
183,135
114,12
142,148
195,43
199,40
184,37
138,50
152,53
145,59
101,36
124,22
137,11
148,125
161,101
166,125
105,114
183,104
122,7
137,88
109,56
139,33
107,15
105,98
158,114
195,44
194,44
173,100
199,61
131,85
176,6
166,57
143,88
152,23
165,60
102,120
179,78
151,67
170,143
112,85
185,9
192,118
149,83
101,55
133,124
100,5
173,144
110,133
139,11
134,144
147,12
140,106
122,129
109,82
113,13
108,81
173,110
129,45
104,132
168,74
181,40
118,20
193,42
188,123
198,135
188,57
166,62
163,102
194,75
193,119
106,150
185,130
130,65
120,138
139,146
106,3
166,30
132,148
119,3
122,5
168,66
195,31
170,45
163,150
118,127
182,38
188,28
173,136
104,146
125,84
133,111
199,54
126,119
154,11
110,59
138,33
165,94
117,95
160,47
151,101
180,8
165,83
124,117
140,51
157,55
110,149
168,9
193,42
142,150
153,5
169,106
138,64
121,147
169,95
111,140
188,95
139,56
186,97
145,121
138,105
173,78
155,68
135,126
139,59
143,138
164,137
145,86
184,9
184,92
189,85
154,42
174,150
121,134
128,100
132,78
173,46
185,90
121,8
192,131
197,82
186,144
186,6
153,85
129,14
167,90
155,17
192,29
162,44
153,77
105,7
106,76
199,103
163,39
190,112
139,52
168,30
107,138
138,86
111,138
171,52
123,1
165,118
149,87
110,135
106,7
134,25
133,137
103,74
151,131
172,63
110,132
199,18
197,77
102,23
191,82
121,11
191,21
134,98
162,116
112,128
129,80
148,52
191,77
100,36
109,54
184,133
103,117
112,59
166,44
105,32
196,14
110,116
132,43
186,18
174,13
125,120
156,62
145,149
106,83
157,49
131,93
113,80
195,150
196,4
158,141
132,89
159,112
149,40
105,18
101,90
117,38
186,8
175,145
190,36
111,54
154,134
175,51
138,125
132,90
117,141
140,96
149,143
174,42
108,142
129,75
164,147
104,149
116,143
118,149
169,49
144,15
169,81
194,85
178,45
158,106
180,8
122,102
129,40
160,19
186,61
184,40
120,57
103,112
124,114
196,133
174,131
187,43
125,37
153,67
174,64
120,125
135,34
124,74
156,102
181,94
123,120
123,106
195,137
192,93
111,130
103,5
196,69
164,125
156,54
139,71
107,35
139,75
132,7
181,44
132,116
153,115
132,129
143,131
165,5
129,123
158,41
177,144
133,65
168,8
153,106
108,137
153,80
154,149
104,44
112,49
162,120
186,100
174,104
140,136
174,48
159,16
162,22
173,88
179,141
187,136
157,15
113,21
150,26
175,64
170,10
198,32
175,28
111,101
192,84
145,137
116,90
134,20
150,48
100,148
133,110
194,15
132,69
137,39
116,127
160,63
199,31
137,20
152,149
111,9
100,138
134,49
181,127
190,1
122,92
158,43
162,139
174,17
172,42
118,84
158,110
101,26
151,124
137,100
144,86
156,72
179,107
110,112
146,5
136,86
192,80
168,65
156,9
114,122
177,130
178,46
152,70
134,42
147,48
160,99
165,79
173,90
137,102
111,38
165,55
124,60
107,118
169,107
105,34
181,78
177,82
173,63
178,89
163,75
160,48
154,73
183,105
101,53
122,123
192,28
181,138
184,35
116,97
183,67
152,60
198,49
168,26
165,142
